kanakanji,unicode,maxStrokeID,strokeDirections,positionDirections,charClass
壷,0x58f7,11,rdrdrdrrddr,pssododurs,kanji
壹,0x58f9,12,rdrdrrdrrtsr,pssotdoddrl,kanji
壺,0x58fa,12,rdrdrdrttrdr,pssorsopdos,kanji
壻,0x58fb,12,rdprdrsrdtrr,pdprdlddodd,kanji
壼,0x58fc,13,rdrdrrdrttrdr,pssotrsopdos,kanji
壽,0x58fd,14,rdrrrdrrdtrrdt,rssrrsstodprs,kanji
夂,0x5902,3,sdt,ds,kanji
変,0x5909,9,drsdstsst,srrlrsds,kanji
夊,0x590a,3,sst,dl,kanji
复,0x590d,9,sroorrssr,ddodddos,kanji
夏,0x590f,10,rsdtrrrsst,rsodddrds,kanji
夐,0x5910,14,srdrsrdtrrrsst,dsorosodddrdo,kanji
夕,0x5915,3,sst,ds,kanji
外,0x5916,5,sdtdt,dspd,kanji
夘,0x5918,5,sdtdd,ddpo,kanji
夙,0x5919,6,dtrsst,otrds,kanji
多,0x591a,6,sstsst,ostds,kanji
夛,0x591b,6,trrsst,dsrds,kanji
夜,0x591c,8,drsdsstt,stdpdss,kanji
夢,0x5922,13,rdddrddrdrsst,prsorrlsords,kanji
夥,0x5925,14,dtrrrdstsstsst,oddspdtpostds,kanji
大,0x5927,3,rst,pd,kanji
天,0x5929,4,rrst,dpd,kanji
太,0x592a,4,rstt,pdd,kanji
夫,0x592b,4,rrst,spd,kanji
夬,0x592c,4,trdt,spd,kanji
夭,0x592d,4,lrst,spd,kanji
央,0x592e,5,dtrdt,ospd,kanji
失,0x5931,5,srrst,dspd,kanji
夲,0x5932,5,rstrd,pdsp,kanji
