kana,unicode,svgFile,pngFile,strokeCount
歟,0x6b5f,06b5f.svg,06b5f.png,17
歡,0x6b61,06b61.svg,06b61.png,21
止,0x6b62,06b62.svg,06b62.png,4
正,0x6b63,06b63.svg,06b63.png,5
此,0x6b64,06b64.svg,06b64.png,6
武,0x6b66,06b66.svg,06b66.png,8
歩,0x6b69,06b69.svg,06b69.png,8
歪,0x6b6a,06b6a.svg,06b6a.png,9
歯,0x6b6f,06b6f.svg,06b6f.png,12
歳,0x6b73,06b73.svg,06b73.png,13
歴,0x6b74,06b74.svg,06b74.png,14
歸,0x6b78,06b78.svg,06b78.png,18
歹,0x6b79,06b79.svg,06b79.png,4
死,0x6b7b,06b7b.svg,06b7b.png,6
歿,0x6b7f,06b7f.svg,06b7f.png,8
殀,0x6b80,06b80.svg,06b80.png,8
殃,0x6b83,06b83.svg,06b83.png,9
殄,0x6b84,06b84.svg,06b84.png,9
殆,0x6b86,06b86.svg,06b86.png,9
殉,0x6b89,06b89.svg,06b89.png,10
殊,0x6b8a,06b8a.svg,06b8a.png,10
残,0x6b8b,06b8b.svg,06b8b.png,10
殍,0x6b8d,06b8d.svg,06b8d.png,11
殕,0x6b95,06b95.svg,06b95.png,12
殖,0x6b96,06b96.svg,06b96.png,12
殘,0x6b98,06b98.svg,06b98.png,12
殞,0x6b9e,06b9e.svg,06b9e.png,14
殤,0x6ba4,06ba4.svg,06ba4.png,15
殪,0x6baa,06baa.svg,06baa.png,16
殫,0x6bab,06bab.svg,06bab.png,16
殯,0x6baf,06baf.svg,06baf.png,18
殱,0x6bb1,06bb1.svg,06bb1.png,19
殲,0x6bb2,06bb2.svg,06bb2.png,21
殳,0x6bb3,06bb3.svg,06bb3.png,4
殴,0x6bb4,06bb4.svg,06bb4.png,8
段,0x6bb5,06bb5.svg,06bb5.png,9
殷,0x6bb7,06bb7.svg,06bb7.png,10
殺,0x6bba,06bba.svg,06bba.png,10
殻,0x6bbb,06bbb.svg,06bbb.png,11
殼,0x6bbc,06bbc.svg,06bbc.png,12
殿,0x6bbf,06bbf.svg,06bbf.png,13
毀,0x6bc0,06bc0.svg,06bc0.png,13
毅,0x6bc5,06bc5.svg,06bc5.png,15
